HeadwordID	Headword	HomonymNumberID	WordClassID	SenseNumberID	Definition	needs fixing
						
9836	acrid lettuce	1	1	1	<i>Lactusa virosa</i>, a weed (introduced) related to the lettuce. 	x
30600	acute-leaved totara	1	1	1	<i>Podocarpus acutifolius </i>	x
20900	Adam's mistletoe	1	1	1	<i>Trilepidea adamsii</i>	x
28060	African clubmoss	1	1	1	<i>Selaginella kraussiana</i>	x
12503	African ivy	1	1	1	<i> Senecio mikanioides,</i> German ivy, a perennial climber with ivy- shaped leaves, a native of southern Africa, common in the North Island 	y
9913	ahuru/ahuruhuru	1	1	1	<i> Auchenoceros punctatus </i>; ...Ahuruhuru; Red mullet; <i> Upeneichthys lineatus</i> [reference 1982 Ayling and Cox] -->pink cod, a sea fish. W.4 A[a]huru (ii), a[a]huruhuru  n. <i> Auchenoceros punctatus </i>, a sea fish, scaleless, about size of  raawaru.] <i> Auchenoceros punctatus </i>  See pink cod.  	y
9914	ahuru/ahuruhuru	1	1	1	<i> Upeneichthys porosus.</i> 	y
9920	aihe	1	1	1	Ma. /|aihe/ W.5 Aihe. 1. ... <i>Delphinus delphis</i>,	
9980	albacore	1	1	1	<i>Thunnus alalungs</i>, (previously listed as <i>Germo germon</i>, <i>Thunnus germo</i>, and variants) fam. Scombridae, a moderate-sized tuna widely distributed in the world's oceans.  See also tuna.  Also known as long-finned albacore. 	x
9981	albatross	1	1	12	1. Diomedea spp., fam. Diomedeidae, in NZ used mainly of the two `great' albatrosses, the wandering <i>D. exulans</i> and the royal <i>D. epomophora</i> (smaller Diomedea are known locally as mollymawks q.v.). Also called toroa. 	x
10000	alfonsino	1	1	1	Bright red and silver midwater marine fishes, fam. Berycidae, widely distributed in the world's oceans, in NZ esp. the slender beryx <i>Beryx  splendens</i>, and the longfinned beryx <i>B. decadactylus. </i>	x
1463	All Black	1	1	1	a member of the NZ representative rugby union team. [1. attrib., aj. and n. sg. Attrib. or aj. orig. descriptive of the 1905 NZ touring team in Britain, thence, to a member of that team; thence, of any nationally representative rugby union team, and to a past or present member of such a team. <I>Alternatively</I> Usu. pl. with def. art., a New Zealand national rugby union representative team (orig. the 1905 touring team: the 1905 cit. below is the second use of the word-form in Truth; also at this time called `the New Zealand team', and `the wearers of the fern-leaf').]	
22917	alpine rush	1	1	1	<i>Juncus novae zelandiae </i>	
16822	alpine shield fern	1	1	1	([?General descr. name ??omit] <i>Polystichum cystostegium</i> [get reference]  	
39997	alpine sundew	11	1	25	<I>Drosera arcturi</I>	
30601	alpine totara 	11	1	1	<I>Podocarpus hallii</I> (Andersen) 1916 	
23596	alpine weta	1	1	1	<i>Pharmacus montanus</i>, aka jumping spider, Mount Cook flea 	
10339	amberjack	1	1	1	<i>Seriola riviolana</i> (also listed as <i.S. purpurascens</i>), fam. Carangidae (the jacks and trevallies), a largish fish of offshore surface waters	
10340	amokura	1	1	1	<i> Phaethon rubricauda roseotincta </i>, fam. Phaethontidae, a white ternlike seabird of the subtropical region, occas. straggling to NZ. The two red elongated central tail feathers were highly prized by the Maori (see cit. 1946).  Also called red-tailed tropic-bird. 	
10608	anchovy	1	1	12	(a) Scientific name: <I>Engraulis australis</I>. (b) Suggested commercial name[s]: Anchovy. (c) Other common names: the following names of related Clupeids and Engraulid fish are sometimes applied to anchovy - Herring, Sprat, Sardine, Pilchard, although the true Herring of European	
10615	angiangi	1	1	1	<i>Coprosma repens</i>, a shrub	
10616	angiangi	1	1	25	<i>Usnea barbata</i>, a soft white lichen used as a wrapper or absorbent	
10630	anise	1	1	12	<i>A. rosaefolia koheriki</i> W.125 <i>A. rosaefolia.] [Transf. use of </i>anise,<i> an aromatic plant.] Angelica </i>(??esp. <i>A. montana</i>) and/or <i>Anistome</i> spp.	
10644	anisotome	1	1	1	usu. <i>Anistome aromatica</i>	
42041	Antipodes Island snipe	1	1	1	<i>Coenocorypha aucklandica meinertzhagenae </i> Rothschild, 1927 	
16823	antler fern	1	1	1	<i>Lycopodium volubile </i>	
10662	anuhe	1	1	1	A large caterpillar, larva of <I>Sphinx convolvuli; </I>also larva of <I>Hepialis virescens. ... = ho[o]tete,	
10773	arbor vitae	1	1	1	<i>Libocedrus plumosa</i> (formerly <i>L. Doniana</i>), kawaka	
10775	arbutilon	1	1	1	<i>Rhabdothamnus Solandri. </i>	
6848	Archey's frog	1	1	1	a critically endangered, small, nocturnal, forest-dwelling, indigenous frog, <i>Leiopelma archeyi</i>, named after Sir Gilbert Archey, onetime Director of the Auckland Museum. 	
10777	argentine	1	1	12	<i>Argentina elongata</i>, a seafish.	
10780	aristotelia	1	1	1	The generic of <i>Aristotelia</i> spp. used as a common name of <i>Aristotelia racemosa</i>, and <i>A. fruticosa.</i>  	
16824	arrowroot fern	1	1	1	<i>Marattia</i> sp., from its edible tubers. (?Aust. potato fern.) 	
10781	arthropodium	1	1	1	The generic used as a common name for <i>Arthropodium cirratum</i>. 	
10782	aruhe	1	1	1	<i>Aruhe ... Edible fern root</i>, being the root of <i>Pteridium aquilinum</i> var. <i>esculentum</i>	
10786	arum	1	1	1	The Pacific taro (<i>Colocasia</i> spp.), is an aroid, a member of 	
10564	ascarine	1	1	1	<i>Ascarina lucida. </i>	
10580	ash	1	1	1	occas. <i>Nothopanax arboreum</i>.	
10575	ash	1	1	1	Usu. <I>Alectryon excelsus. titoki. </I> [AND usu. Eucalypt 1801.] For trees thought to resemble the ash in appearance, or in the nature of their wood (tough, dense) usu. with epithet  native, New Zealand. 	
34512	Asian honeybee	1	1	1	<i>Apis cerana</i>	
10583	astelia	1	1	1	As a common name esp. for <i>Astelia nervosa</i>. Also common astelia, giant astelia. See wharawhara. 	
10598	ataata	1	1	1	<i>Lunella smaragda</i>, a large univalve mollusc.] A shellfish. See cat's eye [Ma.]. 	
6849	Ataranic	1	1	1	Nickname for the mechanically-troubled interisland ferry, <i>Aranui</i>.	
10600	aua	1	1	1	yellow-eyed mullet, so-called <i>herring</i>	
17460	Australian flax	1	1	1	<i>Linum marginale</i>, a weed, related to flax, introduced via Australia; a wild linseed. Also called wild flax.	
6049	aute	1	1	1	<i>Broussonetia papyrifera</i>,  paper mulberry, formerly cultivated by Maori	
10603	autetaranga	1	1	1	<i>Autetaranga,  autetauranga ... Pimelea arenaria</i>, a shrub from the bark of  which and inferior kind of cloth was made.	
10607	avens	1	1	1	[Spec. use of <i>avens</i> for <i>Geum</i> spp.] <i>Geum</i> spp. Also common avens, alpine avens. 	
480	Avondale spider	11	1	25	Avondale spider (<i>Delena cancerides</i>)	
3118	awhato	1	1	1	1. <i>Cordiceps robertsii</i> and other <i>Cordiceps</i> species of parasitic fungi which infest the larvae of certain insects; the `vegetable caterpillar'. ... 2. A large caterpillar, the larva of  <i>Sphinx convolvuli</i>.]  Cordiceps robertsii, <i>a fungus which is parasitic on the larvae</i> of some insects, the bulrush caterpillar, vegetable caterpillar, a fungus parasitic on the larvae of certain insects [Ma. awhato[a-macron]]. Also called bulrush caterpillar, vegetable caterpillar. 	
3780	babaco	1	1	1	A hybrid papaya, <i>Carica pentagona</i>, originating in Ecuador; with large yellow-skinned fruit up to 30 cm long and 10-12 in cross-section, with rather acid, almost white and distinctly fragrant flesh.	
30446	baby kiwifruit	1	1	1	the small hairless <i>Actinidia arguta</i>	
36835	bakshee	1	12	1	usu. senses in NZ `free'; `unofficial' f. orig. military<I> baksheesh</I>, `a tip', popularised in WW1 and WW2. .bds;1. (WW1) bakshee lance-jack <I>a lance-corporal.</I>	
36855	Balmoral oak	1	1	1	<i>Pinus radiata</i> logs or timber; aka Pinus horizontalis	
