HeadwordID	Headword	HomonymNumberID	WordClassID	SenseNumberID	Definition
					
38136	bluefish	11	1	59	 ? <i>Girella</i> spp; ?=parore, or other Girellas; ?=blue maomao. 
12496	ironwood	1	1	25	 (Northern North Island) <i> Vitex lucens </i>,  puriri. 
37226	bellowsfish	11	1	12	 [?merely syn. <i>Centriscops</i> ].
15625	gourd	1	1	25	 <i.Lagenaria: </i>
42371	blunt-leaved Spaniard	1	1	1	 <i> Celmisia Lyallii </i>, a type of mountain daisy, with leaves like those of SPANIARD
31614	makawe	1	1	1	 <i>A[splenium] flaccidum</i> 
42479	speargrass	11	1	25	 <i>Aciphylla Monroi </i>
10120	bayonet grass	1	1	1	 <i>Aciphylla</i> spp., an old name for  speargrass or taramea,  contrast <i>A. squarrosa</i> a little later `soft leaved Spear grass',  =spear-grass cf bayonet-plant. 
8751	pepperwood	1	1	12	 <i>Drimys axillaris</i>, horopito. 
20259	heath	1	1	112	 <i>Epacris pauciflora</i>. 
14598	nettle	1	1	25	 <I>nettle, tree [s] Urtica ferox </I> Forst.f.  true nettle [?error for TREE-] 
13995	ourisia	1	1	25	 <I>Ourisia macrophylla </i>
38649	bracken	11	1	25	 <i>Paesia scaberula </i>
39385	bush sarsaparilla	1	1	1	 <i>Rhipogonum scandens</i> cit. also at sarsaparilla =supplejack. 
33222	bog moss	1	1	1	 <i>Sphagnum </i>
19901	harebell	1	1	25	 <i>Wahlenbergia gracilis</i>. 
37497	bastard birch	1	1	1	 <i>Weinmannia racemosa,</i> kamahi. 
30603	creeping totara	1	1	1	 = alpine totara, <i>podocarpus nivalis </i>
39540	buster-cut	11	1	12	 a boyish close crop (? fashionable in late 1920s) (perhaps from prec. buster `boy, fellow'; <i>buster-cut</i>: (hair) `cut like a boy's'). 
31879	Maori	1	1	12	 an aboriginal or native New Zealander; pertaining to the Maori. Spg <i>Mouri, Mauri, Mawnee,</i> [? typographical or transcription error], in the earliest texts; <i>mouray Mao[diereis]ri Maori</i> from at least 1842 (with occasional lower case m.) Plural. Mauries, Mauris, Mouries, Maories; Mauri, Mouri, Maori. The plural <i>Maories</i> can be found in written texts to the 1870's or 1880's; and is not uncommon in informal written English today, though usually regarded as a spelling error. The plural <i>Maori</i> has been usual among those with knowledge of Maori; and among those who are sensitive to Maori usage or feeling. 
42660	spoonbill	11	1	1	 in New Zealand, <i>Spatulata variegata </i>
39144	bung	11	12	37	 in this collocation, often a mixture of senses of<i> bung(ed)</i>. It can mean a `blind' (i.e., useless, ruined) eye, or and eye <i>bunged-up</i> (sc by a blow, or (a bung in the eye) or by infection). It is not clear to which of these (or both) the 1963 citation below refers. cf P: <i>bung-eye</i> Aust coll for and ocular inflammation caused by flies : late 19-20C. 
16906	silver fern	1	1	1	 ponga, <i>Cyathea dealbata</i>, a tree fern with fronds that are white on the underside, recognised as one of New Zealand's national symbols. 
